2021-02-19 19:07:43 INFO  - Task1 DB
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5406 PSS Campaign Status verify that running campaign can be changed to incomplete and back 0
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4241 Buyers Verify that Adnet can be created all the sections are filled in 428
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5700 Sellers: Position Setup: add and edit position with Native type 507
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-409 Verify that Reports tabs can be collapsed and expanded 86
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-2571 AVP verify that actions can be performed when status is To Verify 321
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6159 PSS: perform Save and Add Exchange when new placement is added from the grid 417
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5437 PSS Campaigns Targeting verify that campaign can be saved with Wifi and carriers option and all carriers 0
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-1806 Verify that RTB Bidder Configuration can be saved 228
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-2569 AVP verify that campaign and ad cards can be viewed 220
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-4475 PSS Verify that its possible to create an app site Android App 493
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-5817 Verify that ONE: Mobile Marketplace Ad Source can be created 505
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-4531 Verify that Interstitial Image and Video placement can be added from Applications and Sites grid 410
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-4640 Verify that account can be edited and password can be changed 870
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-4061 Verify that tags associated via SelfServe Placement are displayed in PSS 1098
